material,name,examples,recyclingInformation,plasticNumber,outcome
Electronics,Batteries,"AA, AAA","Alkaline batteries can be safely disposed of with normal household waste.” Energizer confirms that regular batteries are fine to toss in the trash, but says rechargeable batteries should be recycled according to US federal guidelines.",,Not recyclable
Electronics,Game console,"PS4, XBOX, Gamecube","Decluttr is one of the best ways to recycle your unwanted gaming console, regardless of its state.",,Recyclable
Electronics,CD,"blu-ray, game discs","Make sure to remove any paper sleeves, as these can be recycled with other paper. Find a drop-off location for CDs and tapes near you using the Recycling Locator.",,Recyclable
Electronics,Watches,"digital, analog","There are on-line organisations such as Recycling for Good Causes that accept watches regardless of condition via the post, for re-sale",,Not recyclable
Electronics,Radio,"Walky-talky, radio transmitter","Gather your unwanted radios, along with any other electronic devices you want to donate, and pack them in a box. Tape shut the box to secure the electronics. Find a recycling center or charity that accepts used electronics like AM/FM radios.",,Recyclable
Electronics,Hard drives,"USB, external hard drive, floppy disks",Remove the first set of screws. Remove the second set of screws and cut the seal. Open the cover and remove more screws. Remove the magnets and the read/write arm. Remove the data disk. Remove the motor and remaining magnets. Recycle the aluminum.,,Recyclable
Electronics,Misc.,"Speakers, Headphones, bluetooth","If your headphones still work but you are upgrading to something bigger and/or better, you can donate your old headphones to a thrift store. But most curbside programs do not accept electronic waste and therefore will not take headphones.",,Recyclable
Hazardous Materials,Air Conditioner,"radiators, heaters, coolers","To throw out an air conditioner, make an appointment to have the Department of Sanitation remove the chlorofluorocarbons (CFC). They will then tag the air conditioner and collect it on your next recycling day.",,Recyclable
Hazardous Materials,Car Batteries,"diodes, transmissions, electric car batteries","Used batteries are collected from drop-off locations and transported to recycling centers. There, the lead is separated from the polypropylene (plastic case) and fed into a furnace to be melted down. The lead is then reused to manufacture new batteries.",,Recyclable
Hazardous Materials,Chemistry Sets,"chemicals (acids, solutions), burners",Use proper safety precautions. Dilute bleach and hydrogen peroxide to pour down the drain. Store solvents for special collection. . Recycle automotive fluids. Drain all aerosol canisters. Return pool chemicals back to your local pool store.,,not recyclable
Hazardous Materials,Refrigerators,with freezer/ no freezer,Talk to Your Local Scrap Metal Recycler.,,not recyclable
Hazardous Materials,Drugs,"Prescription, marijuana, cocaine, pills","Mix medicines (do not crush tablets or capsules) with an unpalatable substance such as dirt, cat litter, or used coffee grounds; Place the mixture in a container such as a sealed plastic bag; Throw the container in your household trash",,not recyclable
Hazardous Materials,Fertilizers,"pesticides, manure, accelerants","If you have unwanted pesticide products, store them safely and dispose of them as soon as you can.",,not recyclable
Hazardous Materials,Gas/Oil,"diesel, petrol, biofuel",Contact your local trash company if you have any concerns about the fuel and wish to dispose of it. ,,not recyclable
Hazardous Materials,Sprays,"deodarants, hair sprays, air freshners","If empty, aerosol cans may be recyclable with steel cans. If partially full, they are treated as household hazardous waste. Hair spray does not have a recycling market but should be disposed of as household hazardous waste. If empty, the container may be recyclable.",,not recyclable
Hazardous Materials,Insecticieds,"herbicides, bug repellant, pollen","Throw empty cans of bug spray, bug spray wipes or solid bug spray packaging into the trash can to be taken to the landfill. Take partially filled or full cans of bug spray to your local community's collection day.",,not recyclable
Hazardous Materials,Thermostats,"mercuric, baric","Unlike mercury-based thermostats, you can deposit these thermostats at any location that accepts electronics for recycling (such as big box retailers like Staples and Best Buy). Just make sure you remove the batteries to recycle them separately.",,not recyclable
Hazardous Materials,Paint,"acryllic, water colour, organic",Here's how to dispose of latex paint without taking it to a recycling center. Stir the cat litter into the paint until it thickens and will not spill. Throw the dried paint in the can in the garbage. Oil-based paints are considered hazardous waste and must be taken to a recycling center.,,not recyclable
